INFN;Infinera Corporation;20.47;$2.86B;2007;Public Utilities;Telecommunications Equipment;http://www.nasdaq.com/symbol/infn;;;;0.571806076
SBUX;Starbucks Corporation;62.18;$92.29B;1992;Consumer Services;Restaurants;http://www.nasdaq.com/symbol/sbux;;;;0.481234127
XENE;Xenon Pharmaceuticals Inc.;8.15;$116.44M;2014;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/xene;;;;0.830411948
DERM;Dermira, Inc.;28.1;$840.34M;2014;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/derm;;;;0.816252886
CSB;Victory CEMP US Small Cap High Div Volatility Wtd Index ETF;34.0256;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/csb;;;;0.175591768
IPGP;IPG Photonics Corporation;88.99;$4.7B;2006;Technology;Semiconductors;http://www.nasdaq.com/symbol/ipgp;;;;0.321822797
BMRC;Bank of Marin Bancorp;55.12;$330.11M;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/bmrc;;;;0.319260247
UTSI;UTStarcom Holdings Corp;2.555;$95.05M;2000;Consumer Durables;Telecommunications Equipment;http://www.nasdaq.com/symbol/utsi;;;;0.539636783
PROV;Provident Financial Holdings, Inc.;17.72;$150.85M;n/a;Finance;Savings Institutions;http://www.nasdaq.com/symbol/prov;;;;0.12950303
PYPL;PayPal Holdings, Inc.;37;$45.2B;n/a;Miscellaneous;Business Services;http://www.nasdaq.com/symbol/pypl;;;;0.036441994
MLVF;Malvern Bancorp, Inc.;15.98;$104.8M;n/a;Finance;Banks;http://www.nasdaq.com/symbol/mlvf;;;;0.887869626
ASMB;Assembly Biosciences, Inc.;9.31;$160.04M;n/a;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/asmb;;;;0.809567332
AIMT;Aimmune Therapeutics, Inc.;19.05;$804.85M;2015;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/aimt;;;;0.025591731
CXRX;Concordia Healthcare Corp.;29.1;$1.48B;n/a;n/a;n/a;http://www.nasdaq.com/symbol/cxrx;;;;0.445412058
PZZA;Papa John&#39;;;;;;;;;;0.590744624
